Morbidade Hospitalar do SUS - por local de interna��o - Brasil
Interna��es por Munic�pio
Cap�tulo CID-10: V.   Transtornos mentais e comportamentais
Per�odo:2024
"Munic�pio";"Interna��es"
"320080 BAIXO GUANDU";22
"320090 BARRA DE SAO FRANCISCO";2
"320100 BOA ESPERANCA";1
"320120 CACHOEIRO DE ITAPEMIRIM";427
"320130 CARIACICA";447
"320140 CASTELO";4
"320150 COLATINA";359
"320190 DOMINGOS MARTINS";23
"320230 GUACUI";3
"320240 GUARAPARI";4
"320280 ITAPEMIRIM";4
"320305 JAGUARE";5
"320316 LARANJA DA TERRA";5
"320320 LINHARES";68
"320340 MIMOSO DO SUL";190
"320360 MUCURICI";1
"320370 MUNIZ FREIRE";1
"320390 NOVA VENECIA";258
"320400 PANCAS";1
"320450 SANTA LEOPOLDINA";1
"320455 SANTA MARIA DE JETIBA";302
"320460 SANTA TERESA";8
"320470 SAO GABRIEL DA PALHA";2
"320480 SAO JOSE DO CALCADO";1
"320490 SAO MATEUS";211
"320500 SERRA";20
"320503 VARGEM ALTA";1
"320506 VENDA NOVA DO IMIGRANTE";98
"320520 VILA VELHA";550
"320530 VITORIA";24
"330010 ANGRA DOS REIS";214
"330015 APERIBE";9
"330020 ARARUAMA";1
"330023 ARMACAO DOS BUZIOS";89
"330025 ARRAIAL DO CABO";53
"330030 BARRA DO PIRAI";107
"330040 BARRA MANSA";305
"330045 BELFORD ROXO";7
"330050 BOM JARDIM";7
"330060 BOM JESUS DO ITABAPOANA";8
"330070 CABO FRIO";225
"330080 CACHOEIRAS DE MACACU";122
"330090 CAMBUCI";3
"330100 CAMPOS DOS GOYTACAZES";25
"330110 CANTAGALO";48
"330120 CARMO";82
"330130 CASIMIRO DE ABREU";77
"330150 CORDEIRO";5
"330160 DUAS BARRAS";1
"330170 DUQUE DE CAXIAS";719
"330180 ENGENHEIRO PAULO DE FRONTIN";20
"330185 GUAPIMIRIM";68
"330190 ITABORAI";265
"330200 ITAGUAI";164
"330210 ITAOCARA";41
"330220 ITAPERUNA";15
"330225 ITATIAIA";61
"330227 JAPERI";67
"330230 LAJE DO MURIAE";5
"330240 MACAE";9
"330250 MAGE";398
"330260 MANGARATIBA";27
"330270 MARICA";249
"330280 MENDES";19
"330290 MIGUEL PEREIRA";117
"330300 MIRACEMA";26
"330310 NATIVIDADE";45
"330320 NILOPOLIS";3
"330330 NITEROI";853
"330340 NOVA FRIBURGO";161
"330350 NOVA IGUACU";23
"330360 PARACAMBI";45
"330370 PARAIBA DO SUL";71
"330380 PARATY";115
"330390 PETROPOLIS";149
"330395 PINHEIRAL";18
"330400 PIRAI";43
"330411 PORTO REAL";13
"330412 QUATIS";28
"330415 QUISSAMA";44
"330420 RESENDE";359
"330430 RIO BONITO";44
"330440 RIO CLARO";44
"330450 RIO DAS FLORES";24
"330452 RIO DAS OSTRAS";115
"330455 RIO DE JANEIRO";5843
"330460 SANTA MARIA MADALENA";2
"330470 SANTO ANTONIO DE PADUA";147
"330475 SAO FRANCISCO DE ITABAPOANA";41
"330480 SAO FIDELIS";71
"330490 SAO GONCALO";852
"330500 SAO JOAO DA BARRA";122
"330510 SAO JOAO DE MERITI";3
"330515 SAO JOSE DO VALE DO RIO PRETO";15
"330520 SAO PEDRO DA ALDEIA";22
"330540 SAPUCAIA";6
"330550 SAQUAREMA";28
"330560 SILVA JARDIM";17
"330570 SUMIDOURO";4
"330575 TANGUA";26
"330580 TERESOPOLIS";4
"330590 TRAJANO DE MORAES";1
"330600 TRES RIOS";9
"330610 VALENCA";149
"330620 VASSOURAS";107
"330630 VOLTA REDONDA";324
"350010 ADAMANTINA";754
"350050 AGUAS DE LINDOIA";67
"350100 ALTINOPOLIS";120
"350110 ALTO ALEGRE";2
"350130 ALVARES MACHADO";70
"350160 AMERICANA";489
"350170 AMERICO BRASILIENSE";48
"350190 AMPARO";1248
"350210 ANDRADINA";29
"350220 ANGATUBA";31
"350250 APARECIDA";6
"350260 APARECIDA D'OESTE";3
"350270 APIAI";31
"350280 ARACATUBA";7
"350320 ARARAQUARA";601
"350330 ARARAS";2
"350340 AREALVA";16
"350390 ARUJA";20
"350400 ASSIS";245
"350410 ATIBAIA";20
"350450 AVARE";11
"350520 BARIRI";78
"350530 BARRA BONITA";3
"350550 BARRETOS";566
"350570 BARUERI";567
"350590 BATATAIS";5
"350600 BAURU";368
"350610 BEBEDOURO";24
"350630 BERNARDINO DE CAMPOS";50
"350635 BERTIOGA";85
"350640 BILAC";4
"350650 BIRIGUI";6
"350700 BOITUVA";28
"350740 BORBOREMA";7
"350750 BOTUCATU";711
"350760 BRAGANCA PAULISTA";186
"350810 BURITAMA";3
"350840 CABREUVA";7
"350850 CACAPAVA";14
"350870 CACONDE";17
"350880 CAFELANDIA";2
"350900 CAIEIRAS";20
"350920 CAJAMAR";193
"350940 CAJURU";195
"350950 CAMPINAS";1285
"350960 CAMPO LIMPO PAULISTA";13
"350970 CAMPOS DO JORDAO";24
"351000 CANDIDO MOTA";8
"351020 CAPAO BONITO";6
"351040 CAPIVARI";28
"351050 CARAGUATATUBA";152
"351060 CARAPICUIBA";259
"351080 CASA BRANCA";295
"351100 CASTILHO";11
"351110 CATANDUVA";1176
"351140 CERQUEIRA CESAR";80
"351150 CERQUILHO";1
"351160 CESARIO LANGE";1
"351170 CHARQUEADA";1
"351200 COLINA";4
"351220 CONCHAL";12
"351230 CONCHAS";13
"351280 COSMOPOLIS";4
"351300 COTIA";196
"351340 CRUZEIRO";155
"351350 CUBATAO";206
"351360 CUNHA";9
"351370 DESCALVADO";18
"351380 DIADEMA";739
"351390 DIVINOLANDIA";3
"351410 DOIS CORREGOS";8
"351440 DRACENA";9
"351450 DUARTINA";69
"351500 EMBU DAS ARTES";145
"351510 EMBU-GUACU";49
"351518 ESPIRITO SANTO DO PINHAL";1561
"351540 FARTURA";7
"351550 FERNANDOPOLIS";7
"351570 FERRAZ DE VASCONCELOS";281
"351600 FLORIDA PAULISTA";13
"351620 FRANCA";1029
"351630 FRANCISCO MORATO";79
"351640 FRANCO DA ROCHA";1020
"351660 GALIA";1
"351670 GARCA";1081
"351690 GENERAL SALGADO";1
"351700 GETULINA";84
"351740 GUAIRA";2
"351770 GUARA";60
"351780 GUARACAI";2
"351820 GUARARAPES";28
"351830 GUARAREMA";10
"351840 GUARATINGUETA";6
"351860 GUARIBA";26
"351870 GUARUJA";1
"351880 GUARULHOS";912
"351907 HORTOLANDIA";13
"351910 IACANGA";38
"351930 IBATE";11
"351940 IBIRA";3
"351960 IBITINGA";292
"351990 IEPE";23
"352010 IGARAPAVA";172
"352040 ILHABELA";91
"352044 ILHA SOLTEIRA";80
"352050 INDAIATUBA";533
"352130 IPUA";64
"352180 ITAI";2
"352190 ITAJOBI";35
"352210 ITANHAEM";4
"352220 ITAPECERICA DA SERRA";13
"352230 ITAPETININGA";29
"352240 ITAPEVA";17
"352250 ITAPEVI";149
"352260 ITAPIRA";2600
"352270 ITAPOLIS";5
"352280 ITAPORANGA";70
"352290 ITAPUI";19
"352310 ITAQUAQUECETUBA";764
"352320 ITARARE";116
"352340 ITATIBA";13
"352350 ITATINGA";28
"352390 ITU";7
"352400 ITUPEVA";76
"352410 ITUVERAVA";134
"352430 JABOTICABAL";1
"352440 JACAREI";681
"352470 JAGUARIUNA";36
"352480 JALES";4
"352520 JARINU";41
"352530 JAU";1153
"352570 JOSE BONIFACIO";1
"352590 JUNDIAI";1007
"352600 JUNQUEIROPOLIS";139
"352640 LARANJAL PAULISTA";40
"352670 LEME";32
"352690 LIMEIRA";398
"352710 LINS";1044
"352720 LORENA";9
"352730 LOUVEIRA";1
"352740 LUCELIA";10
"352800 MACATUBA";38
"352850 MAIRIPORA";169
"352880 MARACAI";1
"352900 MARILIA";1015
"352920 MARTINOPOLIS";90
"352930 MATAO";240
"352940 MAUA";478
"352970 MIGUELOPOLIS";7
"353010 MIRANDOPOLIS";19
"353050 MOCOCA";155
"353060 MOGI DAS CRUZES";679
"353070 MOGI GUACU";11
"353080 MOGI MIRIM";11
"353110 MONGAGUA";2
"353130 MONTE ALTO";10
"353150 MONTE AZUL PAULISTA";1
"353180 MONTE MOR";56
"353190 MORRO AGUDO";63
"353240 NAZARE PAULISTA";1
"353290 NOVA EUROPA";1
"353300 NOVA GRANADA";2
"353340 NOVA ODESSA";41
"353350 NOVO HORIZONTE";4
"353390 OLIMPIA";5
"353430 ORLANDIA";123
"353440 OSASCO";228
"353460 OSVALDO CRUZ";6
"353470 OURINHOS";22
"353520 PALMEIRA D'OESTE";1
"353530 PALMITAL";2
"353550 PARAGUACU PAULISTA";47
"353620 PARIQUERA-ACU";27
"353630 PATROCINIO PAULISTA";1
"353650 PAULINIA";155
"353660 PAULO DE FARIA";1
"353670 PEDERNEIRAS";6
"353700 PEDREGULHO";4
"353730 PENAPOLIS";423
"353780 PIEDADE";141
"353790 PILAR DO SUL";7
"353800 PINDAMONHANGABA";2
"353860 PIRACAIA";22
"353870 PIRACICABA";24
"353880 PIRAJU";2
"353890 PIRAJUI";59
"353900 PIRANGI";3
"353930 PIRASSUNUNGA";18
"353950 PITANGUEIRAS";174
"354040 POPULINA";6
"354060 PORTO FELIZ";29
"354070 PORTO FERREIRA";1
"354080 POTIRENDABA";3
"354100 PRAIA GRANDE";482
"354130 PRESIDENTE EPITACIO";45
"354140 PRESIDENTE PRUDENTE";2095
"354150 PRESIDENTE VENCESLAU";257
"354160 PROMISSAO";17
"354190 QUELUZ";15
"354220 RANCHARIA";158
"354240 REGENTE FEIJO";11
"354260 REGISTRO";101
"354290 RIBEIRAO BONITO";1
"354340 RIBEIRAO PRETO";1572
"354380 RINOPOLIS";3
"354390 RIO CLARO";854
"354400 RIO DAS PEDRAS";5
"354425 ROSANA";141
"354490 SALES OLIVEIRA";18
"354500 SALESOPOLIS";8
"354520 SALTO";135
"354530 SALTO DE PIRAPORA";104
"354540 SALTO GRANDE";33
"354560 SANTA ADELIA";3
"354630 SANTA CRUZ DAS PALMEIRAS";2
"354640 SANTA CRUZ DO RIO PARDO";9
"354660 SANTA FE DO SUL";10
"354680 SANTA ISABEL";2
"354730 SANTANA DE PARNAIBA";36
"354750 SANTA RITA DO PASSA QUATRO";450
"354760 SANTA ROSA DE VITERBO";61
"354770 SANTO ANASTACIO";14
"354780 SANTO ANDRE";1015
"354790 SANTO ANTONIO DA ALEGRIA";8
"354850 SANTOS";715
"354860 SAO BENTO DO SAPUCAI";1
"354870 SAO BERNARDO DO CAMPO";1045
"354880 SAO CAETANO DO SUL";216
"354890 SAO CARLOS";200
"354910 SAO JOAO DA BOA VISTA";6
"354940 SAO JOAQUIM DA BARRA";2
"354970 SAO JOSE DO RIO PARDO";7
"354980 SAO JOSE DO RIO PRETO";1222
"354990 SAO JOSE DOS CAMPOS";835
"355000 SAO LUIS DO PARAITINGA";2
"355010 SAO MANUEL";167
"355020 SAO MIGUEL ARCANJO";110
"355030 SAO PAULO";16300
"355040 SAO PEDRO";20
"355060 SAO ROQUE";61
"355070 SAO SEBASTIAO";4
"355080 SAO SEBASTIAO DA GRAMA";19
"355100 SAO VICENTE";358
"355150 SERRANA";259
"355160 SERRA NEGRA";63
"355200 SILVEIRAS";4
"355210 SOCORRO";9
"355220 SOROCABA";650
"355240 SUMARE";4
"355250 SUZANO";2
"355280 TABOAO DA SERRA";484
"355300 TAGUAI";36
"355330 TAMBAU";3
"355340 TANABI";235
"355370 TAQUARITINGA";62
"355380 TAQUARITUBA";68
"355400 TATUI";166
"355410 TAUBATE";108
"355430 TEODORO SAMPAIO";35
"355450 TIETE";8
"355500 TUPA";8
"355540 UBATUBA";274
"355620 VALINHOS";1
"355630 VALPARAISO";6
"355650 VARZEA PAULISTA";261
"355670 VINHEDO";26
"355680 VIRADOURO";14
"355700 VOTORANTIM";73
"355710 VOTUPORANGA";32
"355720 CHAVANTES";21
"410080 ALVORADA DO SUL";2
"410090 AMAPORA";3
"410100 AMPERE";1
"410120 ANTONINA";2
"410140 APUCARANA";26
"410150 ARAPONGAS";7
"410160 ARAPOTI";6
"410170 ARARUNA";2
"410180 ARAUCARIA";15
"410190 ASSAI";16
"410200 ASSIS CHATEAUBRIAND";1
"410210 ASTORGA";404
"410240 BANDEIRANTES";8
"410280 BELA VISTA DO PARAISO";12
"410290 BITURUNA";35
"410345 CAFELANDIA";5
"410370 CAMBE";222
"410400 CAMPINA GRANDE DO SUL";34
"410420 CAMPO LARGO";385
"410430 CAMPO MOURAO";22
"410480 CASCAVEL";130
"410490 CASTRO";4
"410540 CHOPINZINHO";41
"410550 CIANORTE";15
"410590 COLORADO";500
"410640 CORNELIO PROCOPIO";8
"410650 CORONEL VIVIDA";6
"410660 CRUZEIRO DO OESTE";7
"410670 CRUZEIRO DO SUL";3
"410680 CRUZ MACHADO";6
"410690 CURITIBA";2623
"410720 DOIS VIZINHOS";234
"410760 FAXINAL";1
"410800 FLORESTOPOLIS";2
"410830 FOZ DO IGUACU";1203
"410840 FRANCISCO BELTRAO";15
"410860 GOIOERE";62
"410880 GUAIRA";56
"410930 GUARANIACU";1
"410940 GUARAPUAVA";9
"410980 IBIPORA";176
"411030 INAJA";1
"411060 IPORA";2
"411070 IRATI";299
"411100 ITAMBARACA";1
"411125 ITAPERUCU";14
"411130 ITAUNA DO SUL";2
"411140 IVAI";2
"411150 IVAIPORA";2
"411180 JACAREZINHO";7
"411200 JAGUARIAIVA";3
"411210 JANDAIA DO SUL";1554
"411300 JUSSARA";1
"411320 LAPA";19
"411330 LARANJEIRAS DO SUL";3
"411350 LOANDA";409
"411370 LONDRINA";2722
"411380 LUPIONOPOLIS";4
"411390 MALLET";10
"411420 MANDAGUARI";3
"411430 MANDIRITUBA";9
"411440 MANGUEIRINHA";1
"411460 MARECHAL CANDIDO RONDON";1
"411520 MARINGA";793
"411560 MATELANDIA";33
"411620 MORRETES";2
"411690 NOVA ESPERANCA";63
"411695 NOVA ESPERANCA DO SUDOESTE";8
"411722 NOVA SANTA ROSA";2
"411750 PAICANDU";55
"411760 PALMAS";2
"411770 PALMEIRA";50
"411820 PARANAGUA";26
"411840 PARANAVAI";13
"411850 PATO BRANCO";30
"411910 PIEN";39
"411915 PINHAIS";783
"411940 PIRAI DO SUL";4
"411950 PIRAQUARA";2437
"411960 PITANGA";100
"411970 PLANALTINA DO PARANA";1
"411990 PONTA GROSSA";1025
"412000 PORECATU";2
"412035 PRANCHITA";50
"412050 PRIMEIRO DE MAIO";1
"412060 PRUDENTOPOLIS";301
"412090 QUEDAS DO IGUACU";5
"412150 REBOUCAS";2
"412220 RIO BRANCO DO SUL";33
"412230 RIO NEGRO";7
"412240 ROLANDIA";984
"412380 SANTA IZABEL DO OESTE";16
"412410 SANTO ANTONIO DA PLATINA";8
"412460 SAO CARLOS DO IVAI";5
"412500 SAO JOAO DO IVAI";4
"412510 SAO JOAO DO TRIUNFO";1
"412535 SAO JORGE DO PATROCINIO";2
"412550 SAO JOSE DOS PINHAIS";5
"412560 SAO MATEUS DO SUL";21
"412570 SAO MIGUEL DO IGUACU";5
"412580 SAO PEDRO DO IVAI";2
"412620 SAPOPEMA";1
"412625 SARANDI";1
"412650 SERTANOPOLIS";26
"412667 TAMARANA";24
"412700 TEIXEIRA SOARES";2
"412710 TELEMACO BORBA";2
"412720 TERRA BOA";2
"412730 TERRA RICA";2
"412750 TIBAGI";5
"412760 TIJUCAS DO SUL";10
"412780 TOMAZINA";4
"412796 TURVO";20
"412800 UBIRATA";62
"412810 UMUARAMA";696
"412820 UNIAO DA VITORIA";198
"412840 URAI";254
"412855 VERA CRUZ DO OESTE";1
"420010 ABELARDO LUZ";17
"420020 AGROLANDIA";23
"420040 AGUA DOCE";1
"420090 ANGELINA";1
"420100 ANITA GARIBALDI";243
"420140 ARARANGUA";201
"420150 ARMAZEM";141
"420160 ARROIO TRINTA";8
"420200 BALNEARIO CAMBORIU";21
"420230 BIGUACU";17
"420240 BLUMENAU";1259
"420260 BOM RETIRO";253
"420280 BRACO DO NORTE";80
"420290 BRUSQUE";477
"420300 CACADOR";171
"420310 CAIBI";11
"420320 CAMBORIU";1
"420330 CAMPO ALEGRE";3
"420340 CAMPO BELO DO SUL";129
"420350 CAMPO ERE";8
"420360 CAMPOS NOVOS";123
"420370 CANELINHA";1
"420380 CANOINHAS";1
"420390 CAPINZAL";4
"420420 CHAPECO";133
"420430 CONCORDIA";38
"420440 CORONEL FREITAS";5
"420455 CORREIA PINTO";3
"420460 CRICIUMA";7
"420470 CUNHA PORA";194
"420480 CURITIBANOS";566
"420490 DESCANSO";248
"420500 DIONISIO CERQUEIRA";1
"420540 FLORIANOPOLIS";414
"420550 FRAIBURGO";50
"420590 GASPAR";98
"420640 GUARACIABA";12
"420650 GUARAMIRIM";68
"420660 GUARUJA DO SUL";26
"420690 IBIRAMA";202
"420700 ICARA";149
"420730 IMBITUBA";58
"420750 INDAIAL";206
"420765 IPORA DO OESTE";21
"420770 IPUMIRIM";18
"420790 IRINEOPOLIS";2
"420800 ITA";181
"420820 ITAJAI";176
"420830 ITAPEMA";15
"420840 ITAPIRANGA";30
"420850 ITUPORANGA";126
"420870 JACINTO MACHADO";9
"420880 JAGUARUNA";11
"420890 JARAGUA DO SUL";209
"420900 JOACABA";151
"420910 JOINVILLE";2081
"420930 LAGES";168
"420940 LAGUNA";607
"420960 LAURO MULLER";108
"420985 LINDOIA DO SUL";494
"421000 LUIZ ALVES";3
"421003 LUZERNA";402
"421030 MAJOR VIEIRA";25
"421050 MARAVILHA";15
"421060 MASSARANDUBA";14
"421080 MELEIRO";13
"421090 MODELO";1
"421100 MONDAI";286
"421120 MORRO DA FUMACA";237
"421130 NAVEGANTES";1
"421160 NOVA VENEZA";39
"421170 ORLEANS";116
"421175 OTACILIO COSTA";281
"421200 PALMA SOLA";1
"421210 PALMITOS";329
"421220 PAPANDUVA";117
"421260 PERITIBA";6
"421290 PINHALZINHO";7
"421320 POMERODE";112
"421340 PONTE SERRADA";399
"421360 PORTO UNIAO";7
"421370 POUSO REDONDO";131
"421380 PRAIA GRANDE";341
"421400 PRESIDENTE GETULIO";82
"421420 QUILOMBO";237
"421450 RIO DO CAMPO";38
"421470 RIO DOS CEDROS";220
"421480 RIO DO SUL";717
"421490 RIO FORTUNA";2
"421500 RIO NEGRINHO";14
"421530 SALETE";38
"421540 SALTO VELOSO";20
"421550 SANTA CECILIA";470
"421570 SANTO AMARO DA IMPERATRIZ";1
"421580 SAO BENTO DO SUL";21
"421620 SAO FRANCISCO DO SUL";3
"421625 SAO JOAO DO OESTE";8
"421630 SAO JOAO BATISTA";20
"421650 SAO JOAQUIM";165
"421660 SAO JOSE";3851
"421670 SAO JOSE DO CEDRO";12
"421690 SAO LOURENCO DO OESTE";90
"421710 SAO MARTINHO";2
"421720 SAO MIGUEL DO OESTE";2
"421725 SAO PEDRO DE ALCANTARA";410
"421750 SEARA";21
"421770 SOMBRIO";23
"421780 TAIO";69
"421790 TANGARA";42
"421810 TIMBE DO SUL";25
"421820 TIMBO";250
"421830 TRES BARRAS";142
"421840 TREZE DE MAIO";8
"421860 TROMBUDO CENTRAL";72
"421870 TUBARAO";314
"421875 TUNAPOLIS";357
"421890 URUBICI";70
"421900 URUSSANGA";336
"421930 VIDEIRA";11
"421935 VITOR MEIRELES";12
"421940 WITMARSUM";4
"421950 XANXERE";20
"421960 XAVANTINA";7
"421970 XAXIM";29
"430003 ACEGUA";12
"430010 AGUDO";2
"430020 AJURICABA";8
"430030 ALECRIM";100
"430040 ALEGRETE";364
"430050 ALPESTRE";11
"430060 ALVORADA";20
"430080 ANTONIO PRADO";57
"430100 ARROIO DO MEIO";204
"430120 ARROIO DO TIGRE";214
"430130 ARROIO GRANDE";109
"430140 ARVOREZINHA";1
"430150 AUGUSTO PESTANA";350
"430160 BAGE";204
"430210 BENTO GONCALVES";252
"430220 BOA VISTA DO BURICA";11
"430230 BOM JESUS";76
"430235 BOM PRINCIPIO";1
"430240 BOM RETIRO DO SUL";21
"430245 BOQUEIRAO DO LEAO";75
"430270 BUTIA";1
"430280 CACAPAVA DO SUL";146
"430290 CACEQUI";183
"430300 CACHOEIRA DO SUL";235
"430310 CACHOEIRINHA";3
"430330 CAIBATE";16
"430340 CAICARA";223
"430350 CAMAQUA";300
"430370 CAMPINA DAS MISSOES";242
"430390 CAMPO BOM";192
"430400 CAMPO NOVO";15
"430420 CANDELARIA";470
"430430 CANDIDO GODOI";53
"430440 CANELA";138
"430450 CANGUCU";174
"430460 CANOAS";760
"430463 CAPAO DA CANOA";7
"430470 CARAZINHO";289
"430480 CARLOS BARBOSA";77
"430490 CASCA";99
"430510 CAXIAS DO SUL";1644
"430530 CHAPADA";11
"430535 CHARQUEADAS";264
"430540 CHIAPETTA";9
"430570 CONDOR";146
"430580 CONSTANTINA";1
"430590 CORONEL BICACO";2
"430600 CRISSIUMAL";181
"430610 CRUZ ALTA";1
"430620 CRUZEIRO DO SUL";35
"430630 DAVID CANABARRO";2
"430640 DOIS IRMAOS";138
"430660 DOM PEDRITO";143
"430680 ENCANTADO";240
"430700 ERECHIM";33
"430710 HERVAL";3
"430750 ESPUMOSO";162
"430760 ESTANCIA VELHA";95
"430770 ESTEIO";423
"430780 ESTRELA";267
"430790 FARROUPILHA";243
"430800 FAXINAL DO SOTURNO";13
"430810 FELIZ";63
"430820 FLORES DA CUNHA";141
"430840 FORMIGUEIRO";1
"430850 FREDERICO WESTPHALEN";226
"430860 GARIBALDI";126
"430890 GETULIO VARGAS";137
"430900 GIRUA";19
"430910 GRAMADO";45
"430920 GRAVATAI";92
"430925 GUABIJU";2
"430930 GUAIBA";233
"430940 GUAPORE";161
"430950 GUARANI DAS MISSOES";55
"430960 HORIZONTINA";170
"430970 HUMAITA";11
"431010 IGREJINHA";385
"431020 IJUI";552
"431050 IRAI";302
"431060 ITAQUI";171
"431075 IVORA";10
"431080 IVOTI";168
"431085 JABOTICABA";230
"431100 JAGUARAO";167
"431110 JAGUARI";65
"431112 JAQUIRANA";1
"431120 JULIO DE CASTILHOS";60
"431130 LAGOA VERMELHA";144
"431140 LAJEADO";410
"431150 LAVRAS DO SUL";13
"431180 MARAU";160
"431190 MARCELINO RAMOS";230
"431205 MARQUES DE SOUZA";37
"431220 MAXIMILIANO DE ALMEIDA";4
"431240 MONTENEGRO";621
"431260 MUCUM";1
"431270 NONOAI";211
"431290 NOVA BASSANO";170
"431310 NOVA PALMA";353
"431320 NOVA PETROPOLIS";122
"431330 NOVA PRATA";62
"431340 NOVO HAMBURGO";547
"431350 OSORIO";288
"431360 PAIM FILHO";152
"431370 PALMEIRA DAS MISSOES";45
"431380 PALMITINHO";184
"431390 PANAMBI";42
"431400 PARAI";63
"431405 PAROBE";222
"431410 PASSO FUNDO";836
"431420 PEDRO OSORIO";175
"431430 PEJUCARA";1
"431440 PELOTAS";1584
"431450 PINHEIRO MACHADO";1
"431460 PIRATINI";222
"431470 PLANALTO";159
"431480 PORTAO";138
"431490 PORTO ALEGRE";6087
"431500 PORTO LUCENA";129
"431510 PORTO XAVIER";37
"431515 PROGRESSO";53
"431530 QUARAI";85
"431535 QUINZE DE NOVEMBRO";70
"431550 RESTINGA SECA";2
"431560 RIO GRANDE";788
"431570 RIO PARDO";414
"431580 ROCA SALES";71
"431590 RODEIO BONITO";35
"431600 ROLANTE";1
"431610 RONDA ALTA";527
"431640 ROSARIO DO SUL";169
"431643 SALDANHA MARINHO";1
"431645 SALTO DO JACUI";23
"431660 SANANDUVA";161
"431670 SANTA BARBARA DO SUL";120
"431680 SANTA CRUZ DO SUL";164
"431690 SANTA MARIA";930
"431710 SANT'ANA DO LIVRAMENTO";346
"431720 SANTA ROSA";591
"431730 SANTA VITORIA DO PALMAR";84
"431740 SANTIAGO";186
"431750 SANTO ANGELO";479
"431760 SANTO ANTONIO DA PATRULHA";389
"431780 SANTO AUGUSTO";228
"431790 SANTO CRISTO";33
"431800 SAO BORJA";477
"431810 SAO FRANCISCO DE ASSIS";237
"431820 SAO FRANCISCO DE PAULA";308
"431830 SAO GABRIEL";349
"431840 SAO JERONIMO";115
"431843 SAO JOAO DO POLESINE";33
"431850 SAO JOSE DO NORTE";319
"431860 SAO JOSE DO OURO";17
"431870 SAO LEOPOLDO";455
"431880 SAO LOURENCO DO SUL";654
"431890 SAO LUIZ GONZAGA";257
"431900 SAO MARCOS";8
"431910 SAO MARTINHO";9
"431930 SAO PAULO DAS MISSOES";10
"431940 SAO PEDRO DO SUL";53
"431950 SAO SEBASTIAO DO CAI";531
"431960 SAO SEPE";25
"431980 SAO VICENTE DO SUL";1
"431990 SAPIRANGA";215
"432000 SAPUCAIA DO SUL";501
"432010 SARANDI";245
"432020 SEBERI";25
"432026 SEGREDO";48
"432030 SELBACH";6
"432040 SERAFINA CORREA";26
"432050 SERTAO";217
"432067 SINIMBU";11
"432070 SOBRADINHO";1
"432080 SOLEDADE";145
"432090 TAPEJARA";126
"432100 TAPERA";32
"432120 TAQUARA";262
"432130 TAQUARI";223
"432140 TENENTE PORTELA";1
"432145 TEUTONIA";185
"432150 TORRES";233
"432160 TRAMANDAI";7
"432170 TRES COROAS";326
"432180 TRES DE MAIO";7
"432190 TRES PASSOS";177
"432195 TRINDADE DO SUL";17
"432210 TUCUNDUVA";32
"432220 TUPANCIRETA";199
"432230 TUPARENDI";1
"432240 URUGUAIANA";215
"432250 VACARIA";1
"432253 VALE DO SOL";19
"432260 VENANCIO AIRES";351
"432270 VERA CRUZ";7
"432280 VERANOPOLIS";103
"432300 VIAMAO";454
"500060 AMAMBAI";7
"500070 ANASTACIO";1
"500080 ANAURILANDIA";3
"500100 APARECIDA DO TABOADO";9
"500110 AQUIDAUANA";188
"500220 BONITO";6
"500230 BRASILANDIA";1
"500260 CAMAPUA";2
"500270 CAMPO GRANDE";766
"500290 CASSILANDIA";4
"500295 CHAPADAO DO SUL";70
"500320 CORUMBA";14
"500325 COSTA RICA";118
"500330 COXIM";57
"500370 DOURADOS";220
"500375 ELDORADO";1
"500380 FATIMA DO SUL";2
"500470 IVINHEMA";25
"500515 JUTI";6
"500540 MARACAJU";9
"500560 MIRANDA";1
"500568 MUNDO NOVO";4
"500570 NAVIRAI";16
"500620 NOVA ANDRADINA";37
"500630 PARANAIBA";441
"500635 PARANHOS";3
"500660 PONTA PORA";66
"500710 RIBAS DO RIO PARDO";4
"500720 RIO BRILHANTE";61
"500740 RIO VERDE DE MATO GROSSO";16
"500769 SAO GABRIEL DO OESTE";213
"500790 SIDROLANDIA";47
"500793 SONORA";9
"500830 TRES LAGOAS";39
"510020 AGUA BOA";1
"510025 ALTA FLORESTA";27
"510030 ALTO ARAGUAIA";2
"510130 ARENAPOLIS";2
"510180 BARRA DO GARCAS";2
"510190 BRASNORTE";6
"510250 CACERES";9
"510263 CAMPO NOVO DO PARECIS";11
"510267 CAMPO VERDE";18
"510268 CAMPOS DE JULIO";3
"510270 CANARANA";2
"510305 CLAUDIA";14
"510310 COCALINHO";7
"510320 COLIDER";4
"510335 CONFRESA";23
"510340 CUIABA";765
"510360 DOM AQUINO";2
"510410 GUARANTA DO NORTE";5
"510420 GUIRATINGA";4
"510460 ITIQUIRA";6
"510480 JACIARA";27
"510510 JUARA";49
"510515 JUINA";34
"510517 JURUENA";4
"510520 JUSCIMEIRA";6
"510525 LUCAS DO RIO VERDE";130
"510560 MATUPA";17
"510610 NOSSA SENHORA DO LIVRAMENTO";2
"510622 NOVA MUTUM";23
"510625 NOVA XAVANTINA";22
"510627 NOVO HORIZONTE DO NORTE";1
"510628 NOVO SAO JOAQUIM";2
"510629 PARANAITA";6
"510630 PARANATINGA";10
"510650 POCONE";8
"510675 PONTES E LACERDA";2
"510680 PORTO DOS GAUCHOS";7
"510700 POXOREO";41
